policy,timestep,cycle,consumer_pe,block_id,producer_pe,hit,stall_cycles,step_stall_cycles,transfer_hops,prefetched_hit
reactive,4,56,0,59,59,False,20,20,5,False
reactive,4,56,1,60,60,False,20,20,5,False
reactive,4,56,2,61,61,False,20,20,5,False
reactive,4,56,3,62,62,False,20,20,5,False
reactive,4,56,4,63,63,False,20,20,5,False
reactive,4,56,5,0,0,False,20,20,5,False
reactive,4,56,6,1,1,False,20,20,5,False
reactive,4,56,7,2,2,False,20,20,5,False
reactive,4,56,8,3,3,False,20,20,5,False
reactive,4,56,9,4,4,False,20,20,5,False
reactive,4,56,10,5,5,False,20,20,5,False
reactive,4,56,11,6,6,False,20,20,5,False
reactive,4,56,12,7,7,False,20,20,5,False
reactive,4,56,13,8,8,False,20,20,5,False
reactive,4,56,14,9,9,False,20,20,5,False
reactive,4,56,15,10,10,False,20,20,5,False
reactive,4,56,16,11,11,False,20,20,5,False
reactive,4,56,17,12,12,False,20,20,5,False
reactive,4,56,18,13,13,False,20,20,5,False
reactive,4,56,19,14,14,False,20,20,5,False
reactive,4,56,20,15,15,False,20,20,5,False
reactive,4,56,21,16,16,False,20,20,5,False
reactive,4,56,22,17,17,False,20,20,5,False
reactive,4,56,23,18,18,False,20,20,5,False
reactive,4,56,24,19,19,False,20,20,5,False
reactive,4,56,25,20,20,False,20,20,5,False
reactive,4,56,26,21,21,False,20,20,5,False
reactive,4,56,27,22,22,False,20,20,5,False
reactive,4,56,28,23,23,False,20,20,5,False
reactive,4,56,29,24,24,False,20,20,5,False
reactive,4,56,30,25,25,False,20,20,5,False
reactive,4,56,31,26,26,False,20,20,5,False
reactive,4,56,32,27,27,False,20,20,5,False
reactive,4,56,33,28,28,False,20,20,5,False
reactive,4,56,34,29,29,False,20,20,5,False
reactive,4,56,35,30,30,False,20,20,5,False
reactive,4,56,36,31,31,False,20,20,5,False
reactive,4,56,37,32,32,False,20,20,5,False
reactive,4,56,38,33,33,False,20,20,5,False
reactive,4,56,39,34,34,False,20,20,5,False
reactive,4,56,40,35,35,False,20,20,5,False
reactive,4,56,41,36,36,False,20,20,5,False
reactive,4,56,42,37,37,False,20,20,5,False
reactive,4,56,43,38,38,False,20,20,5,False
reactive,4,56,44,39,39,False,20,20,5,False
reactive,4,56,45,40,40,False,20,20,5,False
reactive,4,56,46,41,41,False,20,20,5,False
reactive,4,56,47,42,42,False,20,20,5,False
reactive,4,56,48,43,43,False,20,20,5,False
reactive,4,56,49,44,44,False,20,20,5,False
reactive,4,56,50,45,45,False,20,20,5,False
reactive,4,56,51,46,46,False,20,20,5,False
reactive,4,56,52,47,47,False,20,20,5,False
reactive,4,56,53,48,48,False,20,20,5,False
reactive,4,56,54,49,49,False,20,20,5,False
reactive,4,56,55,50,50,False,20,20,5,False
reactive,4,56,56,51,51,False,20,20,5,False
reactive,4,56,57,52,52,False,20,20,5,False
reactive,4,56,58,53,53,False,20,20,5,False
reactive,4,56,59,54,54,False,20,20,5,False
reactive,4,56,60,55,55,False,20,20,5,False
reactive,4,56,61,56,56,False,20,20,5,False
reactive,4,56,62,57,57,False,20,20,5,False
reactive,4,56,63,58,58,False,20,20,5,False
reactive,5,80,0,58,58,False,24,24,6,False
reactive,5,80,1,59,59,False,24,24,6,False
reactive,5,80,2,60,60,False,24,24,6,False
reactive,5,80,3,61,61,False,24,24,6,False
reactive,5,80,4,62,62,False,24,24,6,False
reactive,5,80,5,63,63,False,24,24,6,False
reactive,5,80,6,0,0,False,24,24,6,False
reactive,5,80,7,1,1,False,24,24,6,False
reactive,5,80,8,2,2,False,24,24,6,False
reactive,5,80,9,3,3,False,24,24,6,False
reactive,5,80,10,4,4,False,24,24,6,False
reactive,5,80,11,5,5,False,24,24,6,False
reactive,5,80,12,6,6,False,24,24,6,False
reactive,5,80,13,7,7,False,24,24,6,False
reactive,5,80,14,8,8,False,24,24,6,False
reactive,5,80,15,9,9,False,24,24,6,False
reactive,5,80,16,10,10,False,24,24,6,False
reactive,5,80,17,11,11,False,24,24,6,False
reactive,5,80,18,12,12,False,24,24,6,False
reactive,5,80,19,13,13,False,24,24,6,False
reactive,5,80,20,14,14,False,24,24,6,False
reactive,5,80,21,15,15,False,24,24,6,False
reactive,5,80,22,16,16,False,24,24,6,False
reactive,5,80,23,17,17,False,24,24,6,False
reactive,5,80,24,18,18,False,24,24,6,False
reactive,5,80,25,19,19,False,24,24,6,False
reactive,5,80,26,20,20,False,24,24,6,False
reactive,5,80,27,21,21,False,24,24,6,False
reactive,5,80,28,22,22,False,24,24,6,False
reactive,5,80,29,23,23,False,24,24,6,False
reactive,5,80,30,24,24,False,24,24,6,False
reactive,5,80,31,25,25,False,24,24,6,False
reactive,5,80,32,26,26,False,24,24,6,False
reactive,5,80,33,27,27,False,24,24,6,False
reactive,5,80,34,28,28,False,24,24,6,False
reactive,5,80,35,29,29,False,24,24,6,False
reactive,5,80,36,30,30,False,24,24,6,False
reactive,5,80,37,31,31,False,24,24,6,False
reactive,5,80,38,32,32,False,24,24,6,False
reactive,5,80,39,33,33,False,24,24,6,False
reactive,5,80,40,34,34,False,24,24,6,False
reactive,5,80,41,35,35,False,24,24,6,False
reactive,5,80,42,36,36,False,24,24,6,False
reactive,5,80,43,37,37,False,24,24,6,False
reactive,5,80,44,38,38,False,24,24,6,False
reactive,5,80,45,39,39,False,24,24,6,False
reactive,5,80,46,40,40,False,24,24,6,False
reactive,5,80,47,41,41,False,24,24,6,False
reactive,5,80,48,42,42,False,24,24,6,False
reactive,5,80,49,43,43,False,24,24,6,False
reactive,5,80,50,44,44,False,24,24,6,False
reactive,5,80,51,45,45,False,24,24,6,False
reactive,5,80,52,46,46,False,24,24,6,False
reactive,5,80,53,47,47,False,24,24,6,False
reactive,5,80,54,48,48,False,24,24,6,False
reactive,5,80,55,49,49,False,24,24,6,False
reactive,5,80,56,50,50,False,24,24,6,False
reactive,5,80,57,51,51,False,24,24,6,False
reactive,5,80,58,52,52,False,24,24,6,False
reactive,5,80,59,53,53,False,24,24,6,False
reactive,5,80,60,54,54,False,24,24,6,False
reactive,5,80,61,55,55,False,24,24,6,False
reactive,5,80,62,56,56,False,24,24,6,False
reactive,5,80,63,57,57,False,24,24,6,False
reactive,6,108,0,57,57,False,28,28,7,False
reactive,6,108,1,58,58,False,28,28,7,False
reactive,6,108,2,59,59,False,28,28,7,False
reactive,6,108,3,60,60,False,28,28,7,False
reactive,6,108,4,61,61,False,28,28,7,False
reactive,6,108,5,62,62,False,28,28,7,False
reactive,6,108,6,63,63,False,28,28,7,False
reactive,6,108,7,0,0,False,28,28,7,False
