hop_latency,local_capacity,char_advantage_over_history
1,1,1.9639468690702087
1,2,1.9658119658119657
1,4,1.9658119658119657
1,8,1.9658119658119657
1,16,1.9658119658119657
2,1,1.9767441860465116
2,2,1.9788359788359788
2,4,1.9788359788359788
2,8,1.9788359788359788
2,16,1.9788359788359788
4,1,1.9798657718120805
4,2,1.9820828667413213
4,4,1.9820828667413213
4,8,1.9820828667413213
4,16,1.9820828667413213
8,1,1.980426021876799
8,2,1.9827089337175792
8,4,1.9827089337175792
8,8,1.9827089337175792
8,16,1.9827089337175792
16,1,1.9807186678352322
16,2,1.9830359754314126
16,4,1.9830359754314126
16,8,1.9830359754314126
16,16,1.9830359754314126
