requests,stall_cycles,mean_stall,hit_rate,prefetch_hit_rate,total_cycles,bytes_transferred,prefetch_bytes,transfer_hops,evictions,policy,speedup_vs_reactive,oracle_capture,horizon
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,reactive,1.0,0.0,0
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,history_last,1.0,0.0,0
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,history_velocity,1.0,0.0,0
6144,6640,1.0807291666666667,0.9845377604166666,1.0,7080,1638400,1638400,106880,6208,characteristic,1.0,0.0,0
6144,6640,1.0807291666666667,0.9845377604166666,1.0,7080,1638400,1638400,106880,6208,oracle,1.0,0.0,0
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,reactive,1.0,0.0,1
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,history_last,1.0,0.0,1
6144,6640,1.0807291666666667,0.9845377604166666,1.0,7080,1638400,1605632,106880,6208,history_velocity,1.0,0.0,1
6144,3156,0.513671875,0.9850260416666666,1.0,3572,1654784,1638400,108608,6208,characteristic,1.9820828667413213,1.0,1
6144,3156,0.513671875,0.9850260416666666,1.0,3572,1654784,1638400,108608,6208,oracle,1.9820828667413213,1.0,1
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,reactive,1.0,0.0,2
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,history_last,1.0,0.0,2
6144,3160,0.5143229166666666,0.9851888020833334,1.0,3584,1654784,1605632,108608,6208,history_velocity,1.9754464285714286,0.5040224476680132,2
6144,2000,0.3255208333333333,0.98583984375,1.0,2412,1671168,1638400,110272,6208,characteristic,2.9353233830845773,1.0,2
6144,2000,0.3255208333333333,0.98583984375,1.0,2412,1671168,1638400,110272,6208,oracle,2.9353233830845773,1.0,2
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,reactive,1.0,0.0,4
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,history_last,1.0,0.0,4
6144,2948,0.4798177083333333,0.9558919270833334,0.96875,1876,1720320,1605632,111936,6336,history_velocity,3.7739872068230276,0.0,4
6144,424960,69.16666666666667,0.0,0.0,7080,3276800,1638400,219648,12608,characteristic,1.0,0.0,4
6144,424960,69.16666666666667,0.0,0.0,7080,3276800,1638400,219648,12608,oracle,1.0,0.0,4
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,reactive,1.0,0.0,8
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,history_last,1.0,0.0,8
6144,424960,69.16666666666667,0.0,0.0,7080,3244032,1605632,221632,12480,history_velocity,1.0,0.0,8
6144,424960,69.16666666666667,0.0,0.0,7080,3276800,1638400,223488,12608,characteristic,1.0,0.0,8
6144,424960,69.16666666666667,0.0,0.0,7080,3276800,1638400,223488,12608,oracle,1.0,0.0,8
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,reactive,1.0,0.0,16
6144,424960,69.16666666666667,0.0,0.0,7080,1638400,0,106880,6208,history_last,1.0,0.0,16
6144,424960,69.16666666666667,0.0,0.0,7080,3244032,1605632,223168,12480,history_velocity,1.0,0.0,16
6144,424960,69.16666666666667,0.0,0.0,7080,3276800,1638400,225024,12608,characteristic,1.0,0.0,16
6144,424960,69.16666666666667,0.0,0.0,7080,3276800,1638400,225024,12608,oracle,1.0,0.0,16
